"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2016-06-28T05:22:49Z"
"Version","20160501000000"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation"
"XWJ63J8BZ6XCMMAG","JRTCKXETXF","XWJ63J8BZ6XCMMAG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to Asia Pacific (Sydney) from CloudFront","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","Amazon CloudFront","AWS Edge Location","APS2-CloudFront-In-Bytes",""
"77B4PPU7SSYY5H99","JRTCKXETXF","77B4PPU7SSYY5H99.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Seoul)","AWS Region","UGW1-APN2-AWS-In-Bytes",""
"MUPCPE9697WZ2RAX","JRTCKXETXF","MUPCPE9697WZ2RAX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from Asia Pacific (Tokyo)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","Asia Pacific (Tokyo)","AWS Region","UGW1-APN1-AWS-In-Bytes",""
"HSRFWQ3TJGWVZ2EK","JRTCKXETXF","HSRFWQ3TJGWVZ2EK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"AWS Inbound","External","Other","US West (Oregon)","AWS Region","USW2-DataTransfer-In-Bytes",""
"8F8EWNWJAXG3A339","JRTCKXETXF","8F8EWNWJAXG3A339.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of Asia Pacific (Seoul) to CloudFront","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","Amazon CloudFront","AWS Edge Location","APN2-CloudFront-Out-Bytes",""
"SZ3TRC8DUXU7MP9B","JRTCKXETXF","SZ3TRC8DUXU7MP9B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Sydney) data transfer from South America (Sao Paulo)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","South America (Sao Paulo)","AWS Region","APS2-SAE1-AWS-In-Bytes",""
"XK8PK8JCSM8N9F2U","JRTCKXETXF","XK8PK8JCSM8N9F2U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Seoul) data transfer from EU (Ireland)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Seoul)","AWS Region","EU (Ireland)","AWS Region","APN2-EU-AWS-In-Bytes",""
"H8BFTAAA4QRPW4P7","JRTCKXETXF","H8BFTAAA4QRPW4P7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of US West (Oregon) to CloudFront","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","US West (Oregon)","AWS Region","Amazon CloudFront","AWS Edge Location","USW2-CloudFront-Out-Bytes",""
"D37X2YZAY9ZUUWD9","JRTCKXETXF","D37X2YZAY9ZUUWD9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Sydney)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","US West (N. California)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW1-APS2-AWS-Out-Bytes",""
"8TVXXVK53DBQVQD4","JRTCKXETXF","8TVXXVK53DBQVQD4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"AWS Inbound","External","Other","EU (Ireland)","AWS Region","EU-DataTransfer-In-Bytes",""
