"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-04-24T23:01:14Z"
"Version","20170424230114"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"K9PB34MM9DEFYCFM","JRTCKXETXF","K9PB34MM9DEFYCFM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","US West (Oregon)","AWS Region","EU (Ireland)","AWS Region","USW2-EU-AWS-Out-ABytes-T1","",""
"YCCVD32W2884DA7K","JRTCKXETXF","YCCVD32W2884DA7K.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US East (Ohio) data transfer from EU (Ireland)","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Inbound","US East (Ohio)","AWS Region","EU (Ireland)","AWS Region","USE2-EU-AWS-In-Bytes","",""
"8RKB3VBKFZDGABU3","JRTCKXETXF","8RKB3VBKFZDGABU3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to EU (Germany)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations within US, Europe or Japan","EU (Ireland)","AWS Region","EU (Frankfurt)","AWS Region","EU-EUC1-AWS-Out-ABytes-T1","",""
"PVY8FCBAAGCPCMX4","JRTCKXETXF","PVY8FCBAAGCPCMX4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US East (Ohio) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","US East (Ohio)","AWS Region","EU (Ireland)","AWS Region","USE2-EU-AWS-Out-ABytes-T2","",""
"WUU53BQ2X2Z6BJRM","JRTCKXETXF","WUU53BQ2X2Z6BJRM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (Ireland) data transfer from Asia Pacific (Seoul)","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Inbound","EU (Ireland)","AWS Region","Asia Pacific (Seoul)","AWS Region","EU-APN2-AWS-In-Bytes","",""
"D7E8C3WQ5RA4QNKP","JRTCKXETXF","D7E8C3WQ5RA4QNKP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to EU (Germany)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound from close by location","EU (Ireland)","AWS Region","US West (N. California)","AWS Region","EU-USW1-AWS-Out-ABytes","",""
"MMC6VD3PTF42ZFJP","JRTCKXETXF","MMC6VD3PTF42ZFJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer from EU (Germany)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Inbound using edge locations outside US, Europe or Japan","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-AWS-In-ABytes-T2","",""
"ERGND8YCSTC46SB5","JRTCKXETXF","ERGND8YCSTC46SB5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of EU (Ireland) to CloudFront","2017-04-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","InterRegion Outbound","EU (Ireland)","AWS Region","Amazon CloudFront","AWS Edge Location","EU-CloudFront-Out-Bytes","",""
"RGKVNTPN8E46W2SC","JRTCKXETXF","RGKVNTPN8E46W2SC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (London) Amazon S3 accelerated data transfer to EU (Ireland)","2017-04-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer","","","","","","","","","","Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","EU (London)","AWS Region","EU (Ireland)","AWS Region","EUW2-EU-AWS-Out-ABytes-T2","",""
"62UY3D5HXV9CXNMK","JRTCKXETXF","62UY3D5HXV9CXNMK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per GB-Month of storage used in Standard-Infrequent Access","2017-04-01","0","Inf","GB-Mo","0.0125000000","USD","Storage","AmazonS3","EU (Ireland)","AWS Region","99.9%","Infrequent Access","Standard - Infrequent Access","","","","","","","","","","EU-TimedStorage-SIA-ByteHrs","","99.999999999%"
